Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,27.000,N/A,27.000,27.000,27.000,27.000,27.000
llm,1,19.000,N/A,19.000,19.000,19.000,19.000,19.000
rule,1,30.000,N/A,30.000,30.000,30.000,30.000,30.000
schwartz,1,20.000,N/A,20.000,20.000,20.000,20.000,20.000
