Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
rule,1,10.000,NaN,10.000,10.000,10.000,10.000,10.000
schwartz,1,8.000,NaN,8.000,8.000,8.000,8.000,8.000
