Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,23.000,NaN,23.000,23.000,23.000,23.000,23.000
llm,1,31.000,NaN,31.000,31.000,31.000,31.000,31.000
rule,1,20.000,NaN,20.000,20.000,20.000,20.000,20.000
schwartz,1,30.000,NaN,30.000,30.000,30.000,30.000,30.000
