Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,3.857,NaN,3.857,3.857,3.857,3.857,3.857
llm,1,3.818,NaN,3.818,3.818,3.818,3.818,3.818
rule,1,3.818,NaN,3.818,3.818,3.818,3.818,3.818
schwartz,1,3.725,NaN,3.725,3.725,3.725,3.725,3.725
