Architecture,N_Runs,Mean,Std,Min,Max,Median,Q25,Q75
bigfive,1,50.000,NaN,50.000,50.000,50.000,50.000,50.000
llm,1,50.000,NaN,50.000,50.000,50.000,50.000,50.000
rule,1,50.000,NaN,50.000,50.000,50.000,50.000,50.000
schwartz,1,50.000,NaN,50.000,50.000,50.000,50.000,50.000
