time,nagents,calculate_cultural_entropy,calculate_spatial_segregation,calculate_clustering_coefficient,calculate_wealth_percentiles,calculate_pareto_alpha,deaths_age,deaths_starvation,calculate_total_credit_outstanding,calculate_credit_default_rate,calculate_gini_coefficient
24,50,3.8565712309833495,0.0,0.0,"Dict(:p25 => 13.0, :p75 => 50.25, :p50 => 27.0, :p90 => 58.1, :p99 => 75.07999999999998, :p95 => 64.39999999999998)",7.835566445828833,0,36,24.0,0.3333333333333333,0.38834098360655744
25,50,3.8565712309833495,0.0,0.0,"Dict(:p25 => 12.25, :p75 => 51.25, :p50 => 28.0, :p90 => 61.0, :p99 => 77.07999999999998, :p95 => 66.84999999999998)",7.0800124790459105,0,36,25.0,0.14285714285714285,0.40178548490687227
26,50,3.8288453437609515,0.0,0.0,"Dict(:p25 => 13.0, :p75 => 53.0, :p50 => 30.5, :p90 => 62.2, :p99 => 79.07999999999998, :p95 => 68.84999999999998)",6.5481181396049,0,39,26.0,0.25,0.3882309582309582
27,50,3.8011194565385535,0.0,0.0,"Dict(:p25 => 13.0, :p75 => 54.0, :p50 => 31.5, :p90 => 64.2, :p99 => 81.58999999999997, :p95 => 70.84999999999998)",5.483522145938553,0,41,27.0,0.2222222222222222,0.3848751486325803
28,50,3.8288453437609515,0.0,0.0,"Dict(:p25 => 14.25, :p75 => 52.75, :p50 => 31.5, :p90 => 66.4, :p99 => 84.09999999999998, :p95 => 74.38)",5.598255405244686,0,42,29.4,0.2,0.381335636154289
29,50,3.8565712309833495,0.0,0.0,"Dict(:p25 => 14.25, :p75 => 53.75, :p50 => 33.0, :p90 => 68.4, :p99 => 86.60999999999999, :p95 => 76.38)",5.784081484813607,0,43,29.4,0.2,0.3798212290502794
30,50,3.8288453437609515,0.0,0.0,"Dict(:p25 => 15.25, :p75 => 55.5, :p50 => 33.5, :p90 => 70.4, :p99 => 88.60999999999999, :p95 => 78.83)",6.018688735337649,0,43,30.4,0.18181818181818182,0.3866958424507658
31,50,3.8011194565385535,0.0,0.0,"Dict(:p25 => 15.25, :p75 => 57.25, :p50 => 35.0, :p90 => 73.30000000000001, :p99 => 90.60999999999999, :p95 => 82.33000000000001)",5.482787973917714,0,44,23.599999999999998,0.1,0.3968102893890677
32,50,3.7733935693161555,0.0,0.0,"Dict(:p25 => 15.0, :p75 => 58.25, :p50 => 36.0, :p90 => 76.2, :p99 => 92.60999999999999, :p95 => 84.88)",5.602473547799073,0,45,23.599999999999998,0.1,0.3965409921671017
33,50,3.8288453437609515,0.0,0.0,"Dict(:p25 => 11.0, :p75 => 59.5, :p50 => 38.0, :p90 => 78.30000000000001, :p99 => 99.33599999999998, :p95 => 87.64999999999999)",5.062165454769358,0,45,12.600000000000001,0.14285714285714285,0.41032396525293824
34,50,3.7456676820937576,0.0,0.0,"Dict(:p25 => 13.5, :p75 => 60.5, :p50 => 40.0, :p90 => 78.60000000000001, :p99 => 101.84599999999999, :p95 => 89.64999999999999)",4.971196113807518,0,47,15.7,0.0,0.3966488519398259
35,50,3.7456676820937576,0.0,0.0,"Dict(:p25 => 14.0, :p75 => 62.0, :p50 => 41.5, :p90 => 80.70000000000002, :p99 => 104.356, :p95 => 90.55)",4.97474048359994,0,48,16.7,0.0,0.389687680740312
36,50,3.8288453437609515,0.0,0.0,"Dict(:p25 => 14.25, :p75 => 63.75, :p50 => 43.0, :p90 => 82.70000000000002, :p99 => 105.37599999999998, :p95 => 92.55)",4.866851110510721,0,48,16.8,0.0,0.3945533604310425
37,50,3.8288453437609515,0.0,0.0,"Dict(:p25 => 14.0, :p75 => 65.75, :p50 => 44.5, :p90 => 84.70000000000002, :p99 => 107.88599999999998, :p95 => 94.55)",4.965476581946784,0,48,15.799999999999999,0.0,0.39897815623843
38,50,3.8842971182057475,0.0,0.0,"Dict(:p25 => 18.25, :p75 => 67.75, :p50 => 46.0, :p90 => 86.70000000000002, :p99 => 109.356, :p95 => 96.55)",5.022971216974921,0,49,15.34,0.0,0.39523811239193063
39,50,3.8565712309833495,0.0,0.0,"Dict(:p25 => 19.25, :p75 => 69.0, :p50 => 47.0, :p90 => 88.80000000000001, :p99 => 110.33599999999998, :p95 => 98.55)",4.83153247788159,0,51,15.34,0.0,0.38343319697101563
40,50,3.8565712309833495,0.0,0.0,"Dict(:p25 => 16.25, :p75 => 70.75, :p50 => 48.0, :p90 => 91.80000000000001, :p99 => 112.826, :p95 => 100.55)",4.601805628697574,0,51,14.34,0.0,0.3911534319172574
41,50,3.801119456538554,0.0,0.0,"Dict(:p25 => 18.0, :p75 => 72.0, :p50 => 48.5, :p90 => 94.80000000000001, :p99 => 114.304, :p95 => 102.55)",4.644642952635733,0,52,14.56,0.0,0.39179336905559237
42,50,3.7906544936632627,0.0,0.0,"Dict(:p25 => 18.5, :p75 => 73.75, :p50 => 49.5, :p90 => 97.70000000000002, :p99 => 116.806, :p95 => 105.0)",4.685779395260155,0,52,15.56,0.0,0.3977822335442516
43,50,3.8183803808856607,0.0,0.0,"Dict(:p25 => 18.5, :p75 => 75.75, :p50 => 50.5, :p90 => 99.6, :p99 => 119.304, :p95 => 107.55)",4.5284463858200805,0,54,15.56,0.0,0.3965573770491799
44,50,3.8183803808856607,0.0,0.0,"Dict(:p25 => 16.5, :p75 => 78.5, :p50 => 51.5, :p90 => 101.60000000000002, :p99 => 120.316, :p95 => 109.55)",4.898177338989884,0,55,12.46,0.0,0.39627744118341335
45,50,3.8565712309833495,0.0,0.0,"Dict(:p25 => 16.5, :p75 => 80.5, :p50 => 53.0, :p90 => 103.6, :p99 => 121.304, :p95 => 111.55)",5.356401666019641,0,55,14.459999999999999,0.16666666666666666,0.39804017305315176
46,50,3.801119456538554,0.0,0.0,"Dict(:p25 => 19.0, :p75 => 82.82499999999999, :p50 => 54.5, :p90 => 105.60000000000002, :p99 => 123.316, :p95 => 114.1)",5.505732427159077,0,56,13.360000000000001,0.2,0.39204556733589
47,50,3.773393569316156,0.0,0.0,"Dict(:p25 => 22.0, :p75 => 84.82499999999999, :p50 => 55.5, :p90 => 107.6, :p99 => 125.316, :p95 => 116.1)",5.948249382116183,0,59,13.360000000000001,0.2,0.3745525952813067
48,50,3.773393569316156,0.0,0.0,"Dict(:p25 => 22.0, :p75 => 86.47099999999999, :p50 => 56.5, :p90 => 109.60000000000002, :p99 => 127.80600000000001, :p95 => 118.1)",6.035361803369494,0,59,7.42,0.5,0.3797948410146481
49,50,3.7179417948713605,0.0,0.0,"Dict(:p25 => 22.0, :p75 => 87.82499999999999, :p50 => 58.0, :p90 => 112.5, :p99 => 130.304, :p95 => 120.1)",6.1297542403276095,0,59,7.42,0.5,0.3794611558669001
50,50,3.707476831996069,0.0,0.0,"Dict(:p25 => 22.25, :p75 => 89.07499999999999, :p50 => 59.5, :p90 => 115.4, :p99 => 132.30399999999997, :p95 => 122.1)",5.9054395116552865,0,60,7.42,0.5,0.37253305954825455
51,50,3.679750944773671,0.0,0.0,"Dict(:p25 => 23.5, :p75 => 90.32499999999999, :p50 => 60.5, :p90 => 118.1, :p99 => 134.80599999999998, :p95 => 124.1)",5.6681875723581205,0,61,7.0,0.0,0.366694428868402
52,50,3.7247377563431763,0.0,0.0,"Dict(:p25 => 23.75, :p75 => 91.57499999999999, :p50 => 61.5, :p90 => 121.0, :p99 => 137.80599999999998, :p95 => 126.1)",5.688844291157859,0,61,8.0,0.0,0.36853187100219165
53,50,3.6902159076489625,0.0,0.0,"Dict(:p25 => 24.0, :p75 => 92.75, :p50 => 63.0, :p90 => 123.0, :p99 => 140.80599999999998, :p95 => 128.1)",6.0172730872291424,0,61,8.0,0.0,0.36920890253340954
54,50,3.652025057551273,0.0,0.0,"Dict(:p25 => 24.75, :p75 => 94.75, :p50 => 64.0, :p90 => 125.10000000000001, :p99 => 143.80599999999998, :p95 => 130.1)",6.041183389006335,0,61,8.1,0.0,0.3697773840424474
55,50,3.624299170328876,0.0,0.0,"Dict(:p25 => 25.5, :p75 => 95.5, :p50 => 64.5, :p90 => 127.1, :p99 => 146.80599999999998, :p95 => 132.1)",5.841592584979603,0,62,5.1,0.0,0.3630794390699008
56,50,3.6902159076489616,0.0,0.0,"Dict(:p25 => 26.25, :p75 => 97.0, :p50 => 65.0, :p90 => 129.20000000000002, :p99 => 149.80599999999998, :p95 => 134.1)",5.8369114708484835,0,62,5.1,0.0,0.3640283061410914
57,50,3.7179417948713605,0.0,0.0,"Dict(:p25 => 28.0, :p75 => 96.75, :p50 => 65.5, :p90 => 131.2, :p99 => 152.80599999999998, :p95 => 135.64999999999998)",5.853145126963588,0,63,5.1,0.0,0.36048320959803015
58,50,3.6624900204265645,0.0,0.0,"Dict(:p25 => 28.75, :p75 => 99.5, :p50 => 66.45, :p90 => 133.20000000000002, :p99 => 155.80599999999998, :p95 => 138.1)",5.847839783618777,0,63,5.1,0.0,0.3607184098921874
59,50,3.707476831996069,0.0,0.0,"Dict(:p25 => 28.75, :p75 => 99.896, :p50 => 67.45, :p90 => 133.4, :p99 => 158.30399999999997, :p95 => 140.1)",5.942963325869407,0,63,13.1,0.0,0.3575150677637917
60,50,3.7247377563431763,0.0,0.0,"Dict(:p25 => 22.5, :p75 => 96.25, :p50 => 59.0, :p90 => 126.30000000000001, :p99 => 161.304, :p95 => 142.55)",4.38719887511157,4,63,13.1,0.0,0.3916904017791414
61,50,3.7247377563431763,0.0,0.0,"Dict(:p25 => 23.0, :p75 => 99.0, :p50 => 60.5, :p90 => 129.20000000000002, :p99 => 164.30399999999997, :p95 => 143.64999999999998)",4.281606720604997,4,63,11.1,0.0,0.39607941986076534
62,50,3.735202719218467,0.0,0.0,"Dict(:p25 => 22.25, :p75 => 97.0, :p50 => 54.5, :p90 => 132.1, :p99 => 166.80599999999998, :p95 => 146.1)",4.13046305541746,5,63,9.1,0.0,0.40945888202816527
63,50,3.6624900204265645,0.0,0.0,"Dict(:p25 => 21.5, :p75 => 98.0, :p50 => 56.0, :p90 => 134.1, :p99 => 167.826, :p95 => 148.55)",4.235388047092969,5,64,9.1,0.0,0.4089680035599086
64,50,3.6347641332041665,0.0,0.0,"Dict(:p25 => 20.25, :p75 => 99.75, :p50 => 57.0, :p90 => 136.1, :p99 => 170.826, :p95 => 151.0)",4.191470744498012,5,64,13.309999999999999,0.0,0.41192308454605353
65,50,3.5583824330087896,0.0,0.0,"Dict(:p25 => 20.767500000000002, :p75 => 101.75, :p50 => 58.5, :p90 => 139.0, :p99 => 173.826, :p95 => 153.55)",4.243939361300874,5,64,13.309999999999999,0.0,0.4163988451861198
66,50,3.56884739588408,0.0,0.0,"Dict(:p25 => 21.1725, :p75 => 103.5, :p50 => 60.0, :p90 => 141.10000000000002, :p99 => 176.826, :p95 => 155.55)",4.1870568942537565,5,65,13.309999999999999,0.0,0.4171198737715782
67,50,3.6310951318006914,0.0,0.0,"Dict(:p25 => 21.4225, :p75 => 99.75, :p50 => 56.5, :p90 => 135.10000000000002, :p99 => 179.33599999999998, :p95 => 157.55)",4.585156339922348,6,66,13.309999999999999,0.5,0.4185455051135918
68,50,3.7247377563431763,0.0,0.0,"Dict(:p25 => 18.25, :p75 => 94.0, :p50 => 51.5, :p90 => 125.20000000000002, :p99 => 181.33599999999998, :p95 => 160.1)",3.931391020970462,8,67,14.309999999999999,0.0,0.4313797882509589
69,50,3.7179417948713605,0.0,0.0,"Dict(:p25 => 18.25, :p75 => 85.25, :p50 => 39.5, :p90 => 128.10000000000002, :p99 => 184.336, :p95 => 162.64999999999998)",3.8267207446778757,10,67,15.11,0.3333333333333333,0.4530275140743083
70,50,3.6970118691207787,0.0,0.0,"Dict(:p25 => 18.0, :p75 => 87.5, :p50 => 40.5, :p90 => 130.10000000000002, :p99 => 187.33599999999998, :p95 => 164.64999999999998)",3.869639724526303,10,67,15.11,0.3333333333333333,0.4601889932444656
71,50,3.6138342074535856,0.0,0.0,"Dict(:p25 => 19.25, :p75 => 89.5, :p50 => 41.5, :p90 => 132.20000000000002, :p99 => 190.336, :p95 => 166.64999999999998)",3.926874811907967,10,68,15.11,0.3333333333333333,0.45620315656787036
72,50,3.6138342074535856,0.0,0.0,"Dict(:p25 => 20.0, :p75 => 91.5, :p50 => 42.0, :p90 => 134.3, :p99 => 192.826, :p95 => 169.2)",3.83589372501076,10,70,16.11,0.5,0.4490387115765968
73,50,3.601984815197455,0.0,0.0,"Dict(:p25 => 19.75, :p75 => 93.5, :p50 => 42.5, :p90 => 136.3, :p99 => 195.826, :p95 => 171.75)",3.7766229972363523,10,70,17.11,0.4,0.4534664667299477
74,50,3.6401756652951436,0.0,0.0,"Dict(:p25 => 20.0, :p75 => 90.75, :p50 => 39.4, :p90 => 139.20000000000002, :p99 => 198.336, :p95 => 173.75)",3.8143731771805713,12,70,11.8,0.25,0.46637382350570045
75,50,3.6070382459817685,0.0,0.0,"Dict(:p25 => 20.75, :p75 => 93.5, :p50 => 39.9, :p90 => 142.20000000000002, :p99 => 201.33599999999998, :p95 => 175.75)",3.834611959850226,12,70,11.8,0.25,0.47203642530572454
76,50,3.723353326962337,0.0,0.0,"Dict(:p25 => 20.75, :p75 => 96.0, :p50 => 38.0, :p90 => 145.20000000000002, :p99 => 204.336, :p95 => 178.29999999999998)",3.948917178099064,13,71,12.8,0.2,0.4766558562763945
77,50,3.735202719218467,0.0,0.0,"Dict(:p25 => 22.25, :p75 => 98.75, :p50 => 38.5, :p90 => 145.40000000000003, :p99 => 207.33599999999998, :p95 => 180.84999999999997)",4.147471246979964,13,73,12.8,0.2,0.46389008195804315
