time,nagents,births,deaths_age,deaths_starvation,combat_kills,calculate_total_credit_outstanding,calculate_credit_default_rate,calculate_decision_entropy,calculate_gini_coefficient,calculate_wealth_percentiles,calculate_pareto_alpha,calculate_mean_lifespan,calculate_lifespan_inequality,calculate_cultural_entropy,calculate_spatial_segregation,calculate_clustering_coefficient,calculate_trait_summary_stats,count_red_tribe,count_blue_tribe,calculate_tribe_proportions,calculate_credit_network_metrics_avg_degree,calculate_credit_network_metrics_density,calculate_credit_network_metrics_max_degree,calculate_credit_network_metrics_n_edges,calculate_credit_network_metrics_n_nodes,calculate_factional_clustering_blue_attack_rate,calculate_factional_clustering_blue_initiated_attacks,calculate_factional_clustering_red_attack_rate,calculate_factional_clustering_red_initiated_attacks,calculate_factional_clustering_total_attacks,calculate_cultural_initiation_by_tribe_blue_initiated_transmissions,calculate_cultural_initiation_by_tribe_blue_transmission_rate,calculate_cultural_initiation_by_tribe_red_initiated_transmissions,calculate_cultural_initiation_by_tribe_red_transmission_rate,calculate_cultural_initiation_by_tribe_total_transmissions,calculate_cultural_diversity_diversity_ratio,calculate_cultural_diversity_max_possible,calculate_cultural_diversity_unique_cultures,calculate_trait_similarity_metrics_avg_similarity,calculate_trait_similarity_metrics_count
0,50,0,0,0,0,0.0,0.0,0.0,0.23110204081632646,"Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0.0,0.0,3.884297118205747,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",29,21,"Dict(""blue_proportion"" => 0.42, ""red_proportion"" => 0.58)",0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02392578125,2048.0,49.0,0.0,0.0
1,44,0,0,0,6,0.0,0.0,0.0,0.27024555903866254,"Dict(:p25 => 10.0, :p75 => 22.0, :p50 => 14.0, :p90 => 24.0, :p99 => 38.28, :p95 => 25.0)",6.383187157752858,1.0,0.0,3.7841896339182655,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",28,16,"Dict(""blue_proportion"" => 0.36363636363636365, ""red_proportion"" => 0.6363636363636364)",0.0,0.0,0.0,0.0,44.0,0.16666666666666666,1.0,0.8333333333333334,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.021484375,2048.0,44.0,0.0,0.0
2,40,0,0,1,9,0.0,0.0,0.0,0.31394736842105275,"Dict(:p25 => 10.75, :p75 => 21.0, :p50 => 14.0, :p90 => 24.1, :p99 => 52.97999999999999, :p95 => 34.39999999999998)",3.698648012267162,2.0,0.0,3.6888794541139402,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",24,16,"Dict(""blue_proportion"" => 0.4, ""red_proportion"" => 0.6)",0.0,0.0,0.0,0.0,40.0,1.0,3.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,0.01953125,2048.0,40.0,0.0,0.0
3,38,0,0,1,11,0.0,0.0,0.0,0.3373131903833657,"Dict(:p25 => 10.25, :p75 => 22.0, :p50 => 15.5, :p90 => 27.0, :p99 => 54.07999999999993, :p95 => 33.79999999999998)",3.7218493542391626,3.0,0.0,3.637586159726386,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",22,16,"Dict(""blue_proportion"" => 0.42105263157894735, ""red_proportion"" => 0.5789473684210527)",0.0,0.0,0.0,0.0,38.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0185546875,2048.0,38.0,0.0,0.0
4,34,0,0,3,13,0.0,0.0,0.0,0.384846246190784,"Dict(:p25 => 10.25, :p75 => 24.0, :p50 => 15.0, :p90 => 29.700000000000003, :p99 => 64.01999999999997, :p95 => 52.850000000000016)",2.6277867938570347,4.0,0.0,3.5263605246161633,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",20,14,"Dict(""blue_proportion"" => 0.4117647058823529, ""red_proportion"" => 0.5882352941176471)",0.0,0.0,0.0,0.0,34.0,1.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0166015625,2048.0,34.0,0.0,0.0
5,31,0,0,4,15,0.0,0.0,0.0,0.42699625621826764,"Dict(:p25 => 9.0, :p75 => 27.5, :p50 => 14.0, :p90 => 31.00000000000007, :p99 => 72.50000000000001, :p95 => 60.00000000000006)",2.6096091193389994,5.0,0.0,3.4339872044851467,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",17,14,"Dict(""blue_proportion"" => 0.45161290322580644, ""red_proportion"" => 0.5483870967741935)",0.0,0.0,0.0,0.0,31.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01513671875,2048.0,31.0,0.0,0.0
6,27,0,0,7,16,0.0,0.0,0.0,0.4303407407407407,"Dict(:p25 => 9.0, :p75 => 29.5, :p50 => 18.0, :p90 => 54.800000000000004, :p99 => 73.48, :p95 => 67.20000000000005)",1.9164161213209219,6.0,0.0,3.2958368660043296,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",13,14,"Dict(""blue_proportion"" => 0.5185185185185185, ""red_proportion"" => 0.48148148148148145)",0.0,0.0,0.0,0.0,27.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.01318359375,2048.0,27.0,0.0,0.0
7,26,0,0,7,17,0.0,0.0,0.0,0.44619053442582857,"Dict(:p25 => 8.75, :p75 => 32.0, :p50 => 20.0, :p90 => 57.5, :p99 => 74.75, :p95 => 70.00000000000006)",1.9970800778744477,7.0,0.0,3.2580965380214835,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",12,14,"Dict(""blue_proportion"" => 0.5384615384615384, ""red_proportion"" => 0.46153846153846156)",0.0,0.0,0.0,0.0,26.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0126953125,2048.0,26.0,0.0,0.0
8,24,0,0,8,18,0.0,0.0,0.0,0.45453354297693904,"Dict(:p25 => 9.25, :p75 => 35.25, :p50 => 23.0, :p90 => 66.30000000000003, :p99 => 77.08, :p95 => 73.25)",1.9642094820881915,8.0,0.0,3.178053830347946,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",10,14,"Dict(""blue_proportion"" => 0.5833333333333334, ""red_proportion"" => 0.4166666666666667)",0.0,0.0,0.0,0.0,24.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.01171875,2048.0,24.0,0.0,0.0
9,21,0,0,9,20,0.0,0.0,0.0,0.48971101701210906,"Dict(:p25 => 9.0, :p75 => 38.0, :p50 => 25.0, :p90 => 72.0, :p99 => 110.80000000000004, :p95 => 74.00000000000017)",1.7598750736028308,9.0,0.0,3.0445224377234217,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",9,12,"Dict(""blue_proportion"" => 0.5714285714285714, ""red_proportion"" => 0.42857142857142855)",0.0,0.0,0.0,0.0,21.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01025390625,2048.0,21.0,0.0,0.0
10,20,0,0,9,21,0.0,0.0,0.0,0.5390432098765432,"Dict(:p25 => 8.0, :p75 => 40.25, :p50 => 22.0, :p90 => 77.60000000000005, :p99 => 120.53000000000003, :p95 => 110.65)",1.6018840047854852,10.0,0.0,2.995732273553991,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",9,11,"Dict(""blue_proportion"" => 0.55, ""red_proportion"" => 0.45)",0.0,0.0,0.0,0.0,20.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.009765625,2048.0,20.0,0.0,0.0
11,18,0,0,11,21,0.0,0.0,0.0,0.505403579871665,"Dict(:p25 => 9.75, :p75 => 42.75, :p50 => 29.5, :p90 => 85.70000000000002, :p99 => 123.79000000000003, :p95 => 114.95000000000002)",1.6597019497680474,11.0,0.0,2.890371757896165,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",8,10,"Dict(""blue_proportion"" => 0.5555555555555556, ""red_proportion"" => 0.4444444444444444)",0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087890625,2048.0,18.0,0.0,0.0
12,17,0,0,11,22,0.0,0.0,0.0,0.5077492074674181,"Dict(:p25 => 12.0, :p75 => 45.0, :p50 => 34.0, :p90 => 90.80000000000001, :p99 => 131.95999999999998, :p95 => 119.80000000000005)",1.6915963943825312,12.0,0.0,2.833213344056216,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",7,10,"Dict(""blue_proportion"" => 0.5882352941176471, ""red_proportion"" => 0.4117647058823529)",0.0,0.0,0.0,0.0,17.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00830078125,2048.0,17.0,0.0,0.0
13,16,0,0,12,22,0.0,0.0,0.0,0.4868759177679882,"Dict(:p25 => 11.75, :p75 => 52.75, :p50 => 37.0, :p90 => 96.5, :p99 => 135.15, :p95 => 123.75000000000003)",1.7492627079165355,13.0,0.0,2.772588722239781,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",6,10,"Dict(""blue_proportion"" => 0.625, ""red_proportion"" => 0.375)",0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,2048.0,16.0,0.0,0.0
14,15,0,0,13,22,0.0,0.0,0.0,0.46081534772182264,"Dict(:p25 => 11.0, :p75 => 60.5, :p50 => 40.0, :p90 => 102.79999999999998, :p99 => 138.33999999999997, :p95 => 127.70000000000005)",1.80751357407913,14.0,0.0,2.70805020110221,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",5,10,"Dict(""blue_proportion"" => 0.6666666666666666, ""red_proportion"" => 0.3333333333333333)",0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.00732421875,2048.0,15.0,0.0,0.0
15,14,0,0,14,22,0.0,0.0,0.0,0.4273675762439808,"Dict(:p25 => 17.0, :p75 => 68.5, :p50 => 44.0, :p90 => 109.69999999999996, :p99 => 141.52999999999997, :p95 => 131.65000000000003)",1.922128907689403,15.0,0.0,2.6390573296152584,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",4,10,"Dict(""blue_proportion"" => 0.7142857142857143, ""red_proportion"" => 0.2857142857142857)",0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068359375,2048.0,14.0,0.0,0.0
16,13,0,0,14,23,0.0,0.0,0.0,0.4420428056791694,"Dict(:p25 => 12.0, :p75 => 74.0, :p50 => 49.0, :p90 => 123.60000000000002, :p99 => 144.71999999999997, :p95 => 135.60000000000002)",1.7981508770290784,16.0,0.0,2.5649493574615376,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",3,10,"Dict(""blue_proportion"" => 0.7692307692307693, ""red_proportion"" => 0.23076923076923078)",0.0,0.0,0.0,0.0,13.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00634765625,2048.0,13.0,0.0,0.0
17,13,0,0,14,23,0.0,0.0,0.0,0.4455732946298985,"Dict(:p25 => 12.0, :p75 => 74.0, :p50 => 52.0, :p90 => 126.40000000000002, :p99 => 147.72, :p95 => 138.60000000000005)",1.9009550012655139,17.0,0.0,2.5649493574615376,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",3,10,"Dict(""blue_proportion"" => 0.7692307692307693, ""red_proportion"" => 0.23076923076923078)",0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.00634765625,2048.0,13.0,0.0,0.0
18,15,2,0,14,23,0.0,0.0,0.0,0.5046991655687307,"Dict(:p25 => 12.0, :p75 => 67.5, :p50 => 36.0, :p90 => 124.39999999999999, :p99 => 150.34, :p95 => 139.70000000000005)",2.0085744245339288,15.6,0.1333333333333333,2.70805020110221,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",5,10,"Dict(""blue_proportion"" => 0.6666666666666666, ""red_proportion"" => 0.3333333333333333)",0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00732421875,2048.0,15.0,0.0,0.0
19,15,5,0,15,25,2.0,0.0,0.0,0.5055267702936097,"Dict(:p25 => 11.0, :p75 => 74.5, :p50 => 37.0, :p90 => 125.8, :p99 => 153.06, :p95 => 141.30000000000004)",2.015520653822195,15.2,0.19999999999999996,2.70805020110221,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",2,13,"Dict(""blue_proportion"" => 0.8666666666666667, ""red_proportion"" => 0.13333333333333333)",0.06666666666666667,0.009523809523809525,1.0,1.0,15.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00732421875,2048.0,15.0,0.0,0.0
20,15,5,0,15,25,2.0,0.0,0.0,0.4969849246231155,"Dict(:p25 => 13.5, :p75 => 76.0, :p50 => 39.0, :p90 => 128.39999999999998, :p99 => 156.05999999999997, :p95 => 144.30000000000004)",2.122027519560584,16.2,0.18765432098765444,2.70805020110221,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",2,13,"Dict(""blue_proportion"" => 0.8666666666666667, ""red_proportion"" => 0.13333333333333333)",0.06666666666666667,0.009523809523809525,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.00732421875,2048.0,15.0,0.0,0.0
21,13,5,0,15,27,2.0,0.0,0.0,0.4236263736263737,"Dict(:p25 => 24.0, :p75 => 109.0, :p50 => 50.0, :p90 => 135.60000000000002, :p99 => 159.47999999999996, :p95 => 149.40000000000003)",2.024355762635487,16.615384615384617,0.20299145299145294,2.5649493574615376,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",1,12,"Dict(""blue_proportion"" => 0.9230769230769231, ""red_proportion"" => 0.07692307692307693)",0.07692307692307693,0.01282051282051282,1.0,1.0,13.0,1.0,2.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,4.0,0.00634765625,2048.0,13.0,0.0,0.0
22,13,5,0,15,27,2.0,0.0,0.0,0.4177350427350428,"Dict(:p25 => 26.0, :p75 => 109.0, :p50 => 53.0, :p90 => 138.40000000000003, :p99 => 162.48, :p95 => 152.40000000000003)",2.1196687999257087,17.615384615384617,0.19146792072556273,2.5649493574615376,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",1,12,"Dict(""blue_proportion"" => 0.9230769230769231, ""red_proportion"" => 0.07692307692307693)",0.07692307692307693,0.01282051282051282,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00634765625,2048.0,13.0,0.0,0.0
23,13,5,0,15,27,2.0,0.0,0.0,0.4121621621621623,"Dict(:p25 => 28.0, :p75 => 109.0, :p50 => 56.0, :p90 => 141.20000000000002, :p99 => 165.48, :p95 => 155.40000000000003)",2.218775023165337,18.615384615384617,0.18118245390972665,2.5649493574615376,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",1,12,"Dict(""blue_proportion"" => 0.9230769230769231, ""red_proportion"" => 0.07692307692307693)",0.07692307692307693,0.01282051282051282,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00634765625,2048.0,13.0,0.0,0.0
24,12,5,0,16,27,2.0,0.0,0.0,0.35793999268203436,"Dict(:p25 => 33.75, :p75 => 111.75, :p50 => 63.0, :p90 => 147.0, :p99 => 168.68999999999997, :p95 => 159.45000000000005)",2.3219666163183295,19.25,0.18506493506493515,2.4849066497880012,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",0,12,"Dict(""blue_proportion"" => 1.0, ""red_proportion"" => 0.0)",0.08333333333333333,0.015151515151515152,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005859375,2048.0,12.0,0.0,0.0
25,12,5,0,16,27,2.0,0.0,0.0,0.35142602495543684,"Dict(:p25 => 36.5, :p75 => 112.25, :p50 => 65.0, :p90 => 149.9, :p99 => 171.68999999999997, :p95 => 162.45000000000002)",2.429560766907731,20.25,0.17592592592592604,2.3693821196946767,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",0,12,"Dict(""blue_proportion"" => 1.0, ""red_proportion"" => 0.0)",0.08333333333333333,0.015151515151515152,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.00537109375,2048.0,11.0,0.0,0.0
26,15,8,0,16,27,2.0,0.0,0.0,0.40722975321515475,"Dict(:p25 => 25.0, :p75 => 97.0, :p50 => 41.0, :p90 => 136.0, :p99 => 154.32, :p95 => 147.60000000000002)",2.8397897479285743,17.0,0.33411764705882363,2.70805020110221,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",0,15,"Dict(""blue_proportion"" => 1.0, ""red_proportion"" => 0.0)",0.06666666666666667,0.009523809523809525,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.00732421875,2048.0,15.0,0.0,0.0
27,16,11,0,16,29,2.0,0.0,0.0,0.4465956340956341,"Dict(:p25 => 21.25, :p75 => 84.0, :p50 => 35.5, :p90 => 143.0, :p99 => 170.04999999999998, :p95 => 162.25000000000003)",1.9375910892288437,13.5,0.47916666666666674,2.772588722239781,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",0,16,"Dict(""blue_proportion"" => 1.0, ""red_proportion"" => 0.0)",0.0625,0.008333333333333333,1.0,1.0,16.0,1.0,2.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,6.0,0.0078125,2048.0,16.0,0.0,0.0
28,16,11,0,16,29,2.0,0.0,0.0,0.4323492462311558,"Dict(:p25 => 24.25, :p75 => 86.25, :p50 => 36.5, :p90 => 144.5, :p99 => 172.20000000000002, :p95 => 165.00000000000003)",1.9762226467584356,14.5,0.4461206896551724,2.772588722239781,0.0,0.0,"Dict(""mean_extraversion"" => 0.0, ""std_agreeableness"" => 0.0, ""std_extraversion"" => 0.0, ""mean_openness"" => 0.0, ""std_conscientiousness"" => 0.0, ""mean_agreeableness"" => 0.0, ""std_neuroticism"" => 0.0, ""std_openness"" => 0.0, ""mean_conscientiousness"" => 0.0, ""mean_neuroticism"" => 0.0)",0,16,"Dict(""blue_proportion"" => 1.0, ""red_proportion"" => 0.0)",0.0625,0.008333333333333333,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0078125,2048.0,16.0,0.0,0.0
