time,#125,#126,#127,#128,nagents
32,42.9,0.18181818181818182,"Dict{String, Real}(""n_edges"" => 10, ""density"" => 0.00816326530612245, ""avg_degree"" => 0.32, ""n_nodes"" => 50, ""max_degree"" => 4)",0.3763491907797938,50
33,44.1,0.18181818181818182,"Dict{String, Real}(""n_edges"" => 10, ""density"" => 0.00816326530612245, ""avg_degree"" => 0.3, ""n_nodes"" => 50, ""max_degree"" => 3)",0.3793541566554539,50
34,42.1,0.2222222222222222,"Dict{String, Real}(""n_edges"" => 8, ""density"" => 0.006530612244897959, ""avg_degree"" => 0.22, ""n_nodes"" => 50, ""max_degree"" => 2)",0.38211676082862533,50
35,42.1,0.2222222222222222,"Dict{String, Real}(""n_edges"" => 8, ""density"" => 0.006530612244897959, ""avg_degree"" => 0.22, ""n_nodes"" => 50, ""max_degree"" => 2)",0.3856265560165977,50
36,21.1,0.14285714285714285,"Dict{String, Real}(""n_edges"" => 6, ""density"" => 0.004897959183673469, ""avg_degree"" => 0.16, ""n_nodes"" => 50, ""max_degree"" => 2)",0.39929815065403673,50
37,22.1,0.125,"Dict{String, Real}(""n_edges"" => 7, ""density"" => 0.005714285714285714, ""avg_degree"" => 0.2, ""n_nodes"" => 50, ""max_degree"" => 2)",0.3940455341506126,50
38,22.1,0.125,"Dict{String, Real}(""n_edges"" => 7, ""density"" => 0.005714285714285714, ""avg_degree"" => 0.2, ""n_nodes"" => 50, ""max_degree"" => 2)",0.3965474045474042,50
39,26.9,0.125,"Dict{String, Real}(""n_edges"" => 7, ""density"" => 0.005714285714285714, ""avg_degree"" => 0.22, ""n_nodes"" => 50, ""max_degree"" => 3)",0.3900612930310663,50
40,36.0,0.2,"Dict{String, Real}(""n_edges"" => 9, ""density"" => 0.007346938775510204, ""avg_degree"" => 0.3, ""n_nodes"" => 50, ""max_degree"" => 3)",0.38923766447368413,50
41,35.6,0.2222222222222222,"Dict{String, Real}(""n_edges"" => 8, ""density"" => 0.006530612244897959, ""avg_degree"" => 0.28, ""n_nodes"" => 50, ""max_degree"" => 3)",0.3896561770623739,50
42,54.4,0.3,"Dict{String, Real}(""n_edges"" => 9, ""density"" => 0.007346938775510204, ""avg_degree"" => 0.32, ""n_nodes"" => 50, ""max_degree"" => 3)",0.38512009474930897,50
43,51.199999999999996,0.3333333333333333,"Dict{String, Real}(""n_edges"" => 8, ""density"" => 0.006530612244897959, ""avg_degree"" => 0.32, ""n_nodes"" => 50, ""max_degree"" => 4)",0.3887344160866202,50
44,51.0,0.2222222222222222,"Dict{String, Real}(""n_edges"" => 8, ""density"" => 0.006530612244897959, ""avg_degree"" => 0.3, ""n_nodes"" => 50, ""max_degree"" => 3)",0.37776193253438195,50
