time,nagents,#193,#194,#195,#196,#197,#198,#199,#200,#201,#202,#203
0,50,0,0,0,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.23110204081632646,"Dict(:p25 => 10.25, :p75 => 19.0, :p50 => 14.0, :p90 => 23.1, :p99 => 25.0, :p95 => 24.549999999999997)",9.797632143947327,0.0,0.0
1,50,0,0,0,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 50, ""max_degree"" => 0)",0.26140145985401464,"Dict(:p25 => 8.0, :p75 => 19.0, :p50 => 13.0, :p90 => 23.0, :p99 => 24.509999999999998, :p95 => 23.549999999999997)",22.977338591455364,1.0,0.0
2,49,0,0,1,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 49, ""max_degree"" => 0)",0.2984693877551021,"Dict(:p25 => 8.0, :p75 => 19.0, :p50 => 12.0, :p90 => 23.200000000000003, :p99 => 25.559999999999988, :p95 => 24.0)",8.876583788608,2.0,0.0
3,47,0,0,3,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 47, ""max_degree"" => 0)",0.3357986610116024,"Dict(:p25 => 7.5, :p75 => 18.5, :p50 => 11.0, :p90 => 24.400000000000006, :p99 => 27.619999999999997, :p95 => 25.700000000000003)",6.364457177204214,3.0,0.0
4,43,0,0,7,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 43, ""max_degree"" => 0)",0.34380571292737994,"Dict(:p25 => 7.5, :p75 => 20.0, :p50 => 11.0, :p90 => 26.0, :p99 => 29.739999999999995, :p95 => 27.9)",6.774824020835207,4.0,0.0
5,39,0,0,11,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 39, ""max_degree"" => 0)",0.3399973520455448,"Dict(:p25 => 8.0, :p75 => 22.0, :p50 => 12.0, :p90 => 28.200000000000003, :p99 => 31.859999999999992, :p95 => 30.0)",20.74811083386444,5.0,0.0
6,36,0,0,14,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 36, ""max_degree"" => 0)",0.33932648401826504,"Dict(:p25 => 8.0, :p75 => 24.0, :p50 => 12.0, :p90 => 31.0, :p99 => 33.949999999999996, :p95 => 32.0)",20.068383432340667,6.0,0.0
7,35,0,0,15,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 35, ""max_degree"" => 0)",0.36094759511844954,"Dict(:p25 => 7.0, :p75 => 26.0, :p50 => 13.0, :p90 => 33.6, :p99 => 35.97999999999999, :p95 => 34.0)",18.013418794499206,7.0,0.0
8,34,0,0,16,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 34, ""max_degree"" => 0)",0.38100289296046297,"Dict(:p25 => 6.0, :p75 => 28.0, :p50 => 15.0, :p90 => 35.7, :p99 => 38.33999999999999, :p95 => 36.35)",27.25721671110007,8.0,0.0
9,32,0,0,18,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 32, ""max_degree"" => 0)",0.37340764331210186,"Dict(:p25 => 5.75, :p75 => 30.5, :p50 => 16.5, :p90 => 37.0, :p99 => 40.69, :p95 => 38.900000000000006)",28.945802189956552,9.0,0.0
10,32,0,0,18,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 32, ""max_degree"" => 0)",0.3977884615384615,"Dict(:p25 => 5.0, :p75 => 32.75, :p50 => 18.0, :p90 => 39.900000000000006, :p99 => 43.69, :p95 => 41.35000000000001)",22.31295551535253,10.0,0.0
11,29,0,0,21,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 29, ""max_degree"" => 0)",0.3649296428019173,"Dict(:p25 => 12.0, :p75 => 38.0, :p50 => 21.0, :p90 => 42.2, :p99 => 46.720000000000006, :p95 => 44.800000000000004)",15.462141833056279,11.0,0.0
12,29,0,0,21,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 29, ""max_degree"" => 0)",0.3818018736296591,"Dict(:p25 => 12.0, :p75 => 40.0, :p50 => 22.0, :p90 => 44.400000000000006, :p99 => 49.0, :p95 => 47.800000000000004)",14.217827658086541,12.0,0.0
13,28,0,0,22,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 28, ""max_degree"" => 0)",0.37315957023477897,"Dict(:p25 => 11.75, :p75 => 42.25, :p50 => 22.5, :p90 => 46.900000000000006, :p99 => 51.730000000000004, :p95 => 50.3)",13.266784072750143,13.0,0.0
14,25,0,0,25,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 25, ""max_degree"" => 0)",0.3097050938337802,"Dict(:p25 => 17.0, :p75 => 45.0, :p50 => 29.0, :p90 => 49.400000000000006, :p99 => 54.76, :p95 => 53.400000000000006)",13.238017510675899,14.0,0.0
15,24,0,0,26,0.0,0.0,"Dict{String, Real}(""n_edges"" => 0, ""density"" => 0.0, ""avg_degree"" => 0.0, ""n_nodes"" => 24, ""max_degree"" => 0)",0.28823024054982804,"Dict(:p25 => 18.75, :p75 => 48.0, :p50 => 32.5, :p90 => 52.20000000000002, :p99 => 57.769999999999996, :p95 => 56.550000000000004)",10.441131712609947,15.0,0.0
